timestamp,elapsed_s,num_pods,hpa_targets,cpu_total_m
1780050625,0,1,2%/50%,6
1780050640,15,1,2%/50%,158
1780050655,30,2,63%/50%,158
1780050670,45,2,63%/50%,815
1780050686,61,4,198%/50%,506
1780050701,76,4,101%/50%,1117
1780050716,91,4,100%/50%,512
1780050731,106,4,51%/50%,498
1780050746,121,4,49%/50%,499
1780050762,137,4,49%/50%,497
1780050777,152,4,49%/50%,498
1780050792,167,4,49%/50%,508
1780050808,183,4,50%/50%,513
1780050823,198,4,51%/50%,514
1780050838,213,4,51%/50%,501
1780050853,228,4,50%/50%,503
1780050868,243,4,50%/50%,514
1780050884,259,4,51%/50%,473
1780050899,274,4,47%/50%,487
1780050914,289,4,48%/50%,493
1780050929,304,4,49%/50%,489
1780050945,320,4,48%/50%,306
