timestamp,elapsed_s,num_pods,hpa_targets,cpu_total_m
1780754565,0,1,1%/50%,4
1780754581,16,1,47%/50%,118
1780754596,31,2,71%/50%,178
1780754611,46,2,65%/50%,477
1780754627,62,2,37%/50%,189
1780754642,77,2,34%/50%,170
1780754657,92,2,36%/50%,184
1780754672,107,2,37%/50%,185
1780754688,123,2,37%/50%,185
1780754703,138,4,76%/50%,380
1780754718,153,6,180%/50%,1718
1780754733,168,8,118%/50%,1574
1780754749,184,8,60%/50%,1561
1780754764,199,8,53%/50%,1245
1780754779,214,8,48%/50%,968
1780754794,229,8,46%/50%,927
1780754809,244,8,45%/50%,908
1780754825,260,8,46%/50%,920
1780754840,275,8,46%/50%,926
1780754855,290,8,45%/50%,909
1780754870,305,8,44%/50%,889
1780754886,321,8,35%/50%,704
1780754901,336,8,24%/50%,480
1780754916,351,8,9%/50%,192
1780754931,366,7,9%/50%,193
1780754947,382,7,11%/50%,209
1780754962,397,6,11%/50%,197
1780754977,412,6,13%/50%,199
1780754992,427,5,12%/50%,185
1780755008,443,5,24%/50%,310
1780755023,458,7,111%/50%,1388
1780755038,473,9,117%/50%,2231
1780755053,488,10,90%/50%,2440
1780755069,504,10,60%/50%,1707
1780755084,519,10,57%/50%,1431
1780755099,534,10,53%/50%,1333
1780755114,549,10,57%/50%,1427
1780755130,565,10,57%/50%,1443
1780755145,580,10,56%/50%,1406
1780755160,595,10,55%/50%,1383
1780755175,610,10,53%/50%,1342
1780755191,626,10,39%/50%,980
1780755206,641,10,8%/50%,223
1780755221,656,10,9%/50%,240
1780755236,671,9,7%/50%,182
1780755251,686,9,7%/50%,205
1780755267,702,8,9%/50%,238
1780755282,717,8,11%/50%,199
1780755297,732,7,9%/50%,186
1780755312,747,7,10%/50%,263
1780755328,763,6,15%/50%,184
1780755343,778,6,13%/50%,201
1780755358,793,5,14%/50%,187
1780755373,808,5,16%/50%,152
1780755389,824,4,14%/50%,146
1780755404,839,3,17%/50%,87
1780755419,854,3,14%/50%,110
1780755434,869,2,23%/50%,145
1780755450,885,2,33%/50%,166
1780755465,900,2,33%/50%,166
1780755480,915,2,27%/50%,136
