timestamp,elapsed_s,num_pods,hpa_targets,cpu_total_m
1780062139,0,1,1%/50%,4
1780062154,15,1,6%/50%,17
1780062169,30,2,76%/50%,190
1780062184,45,2,47%/50%,543
1780062199,60,2,39%/50%,198
1780062215,76,2,28%/50%,142
1780062230,91,2,28%/50%,142
1780062245,106,2,38%/50%,191
1780062260,121,2,35%/50%,177
1780062276,137,2,28%/50%,140
1780062291,152,2,37%/50%,187
1780062306,167,2,35%/50%,179
1780062321,182,2,31%/50%,159
1780062337,198,2,38%/50%,190
1780062352,213,3,56%/50%,281
1780062367,228,3,65%/50%,326
1780062382,243,4,90%/50%,764
1780062397,258,5,79%/50%,595
1780062413,274,5,90%/50%,1028
1780062428,289,6,58%/50%,735
1780062443,304,6,64%/50%,809
1780062458,319,8,76%/50%,1393
1780062474,335,8,68%/50%,1029
1780062489,350,10,68%/50%,1589
1780062504,365,10,66%/50%,1323
1780062519,380,10,58%/50%,1317
1780062534,395,10,55%/50%,1393
1780062550,411,10,53%/50%,1349
1780062565,426,10,54%/50%,1364
1780062580,441,10,54%/50%,1365
1780062595,456,10,53%/50%,1336
1780062611,472,10,54%/50%,1374
1780062626,487,10,54%/50%,1362
1780062641,502,10,53%/50%,1325
1780062656,517,10,52%/50%,1318
1780062672,533,10,50%/50%,1273
1780062687,548,10,52%/50%,1306
1780062702,563,10,50%/50%,1253
1780062717,578,10,52%/50%,1301
1780062733,594,10,52%/50%,1306
1780062748,609,10,54%/50%,1351
1780062763,624,10,54%/50%,1278
1780062778,639,10,51%/50%,1352
1780062793,654,10,54%/50%,1373
1780062809,670,10,54%/50%,1311
1780062824,685,10,52%/50%,1288
1780062839,700,10,51%/50%,1335
1780062854,715,10,53%/50%,1371
1780062870,731,10,54%/50%,1275
1780062885,746,10,51%/50%,999
1780062900,761,10,39%/50%,433
1780062915,776,10,17%/50%,225
1780062930,791,10,9%/50%,226
1780062946,807,9,9%/50%,169
1780062961,822,9,7%/50%,238
1780062976,837,8,10%/50%,196
1780062992,853,8,9%/50%,204
1780063007,868,7,10%/50%,225
1780063022,883,7,12%/50%,202
1780063037,898,6,11%/50%,168
1780063053,914,6,11%/50%,194
1780063068,929,5,12%/50%,166
1780063083,944,5,13%/50%,173
1780063098,959,4,13%/50%,137
1780063114,975,4,15%/50%,158
1780063129,990,3,25%/50%,191
1780063144,1005,3,21%/50%,163
1780063159,1020,2,25%/50%,128
1780063175,1036,2,37%/50%,189
1780063190,1051,2,31%/50%,158
1780063205,1066,2,33%/50%,166
1780063220,1081,2,37%/50%,188
1780063236,1097,2,21%/50%,109
