timestamp,elapsed_s,num_pods,hpa_targets,cpu_total_m
1780758890,0,1,1%/50%,4
1780758905,15,1,1%/50%,4
1780758921,31,3,114%/50%,287
1780758936,46,4,199%/50%,499
1780758951,61,4,<unknown>/50%,1183
1780758966,76,4,58%/50%,1070
1780758982,92,6,187%/50%,1412
1780758997,107,8,143%/50%,1439
1780759012,122,10,142%/50%,1566
1780759027,137,10,96%/50%,1566
1780759042,152,10,73%/50%,2280
1780759058,168,10,58%/50%,1462
1780759073,183,10,57%/50%,1446
1780759088,198,10,60%/50%,1511
1780759103,213,10,58%/50%,1466
1780759119,229,10,59%/50%,1493
1780759134,244,10,59%/50%,1498
1780759149,259,10,58%/50%,1472
1780759164,274,10,60%/50%,1513
1780759180,290,10,60%/50%,1511
1780759195,305,10,60%/50%,1503
1780759210,320,10,59%/50%,1475
1780759225,335,10,57%/50%,1445
1780759241,351,10,59%/50%,1486
1780759256,366,10,57%/50%,1444
1780759271,381,10,58%/50%,1467
1780759286,396,10,58%/50%,1452
1780759302,412,10,58%/50%,1431
1780759317,427,10,57%/50%,1485
1780759332,442,10,59%/50%,1497
1780759347,457,10,59%/50%,1478
1780759363,473,10,59%/50%,1454
1780759378,488,10,58%/50%,1469
1780759393,503,10,58%/50%,1465
1780759408,518,10,58%/50%,1455
1780759423,533,10,58%/50%,1459
1780759439,549,10,58%/50%,1499
1780759454,564,10,59%/50%,1489
1780759469,579,10,59%/50%,1483
1780759484,594,10,59%/50%,1486
1780759500,610,10,59%/50%,884
1780759515,625,10,35%/50%,288
